brand_key,campaign_key,group_key,year,month,impressions,reach,clicks,sales,family,budget,cost,contribution,_merge,matched
agrocommerce vileda,cyber monday,Retail Display,2025,10,109530.0,0.0,493.0,0.0,,,,,left_only,False
airolite,5ebjvcv6k,CRM,2024,12,0.0,102091.0,456.0,4895752.0,,,,,left_only,False
airolite,6189516 009614,CRM,2023,5,0.0,27497.0,4598.0,334192.0,,,,,left_only,False
airolite,black friday,Retail Display,2025,11,57786.0,0.0,110.0,0.0,,,,,left_only,False
airolite,black friday,Retail Display,2025,12,38268.0,0.0,68.0,0.0,,,,,left_only,False
airolite,dxu2b7rty,CRM,2025,1,0.0,101663.0,583.0,2730874.0,,,,,left_only,False
airolite,wx9vdbxfo,CRM,2024,8,0.0,101098.0,365.0,358940.0,,,,,left_only,False
airwick,5dwgcygcl,CRM,2025,6,0.0,26.0,2.0,329111.0,,,,,left_only,False
airwick,aromatizadores navidad,Retail Display,2024,11,101722.0,0.0,348.0,0.0,,,,,left_only,False
airwick,aromatizadores navidad,Retail Display,2024,12,356471.0,0.0,723.0,0.0,,,,,left_only,False
airwick,navidad,Retail Display,2025,12,109112.0,0.0,161.0,0.0,,,,,left_only,False
airwick,zjwoxqrfi,CRM,2025,4,0.0,101196.0,331.0,1077336.0,,,,,left_only,False
aislan,briilfbgr,CRM,2025,7,0.0,2.0,2.0,101980.0,,,,,left_only,False
aislan,hazlo todo con volcan,Sponsored Products,2026,3,0.0,0.0,0.0,306012.0,,,,,left_only,False
aislan,jthsxnccb,CRM,2025,2,0.0,1.0,1.0,313440.0,,,,,left_only,False
aislan,lqwka052t,CRM,2025,2,0.0,8.0,0.0,912497.0,,,,,left_only,False
aislan,zpy2ximbo,CRM,2025,3,0.0,9.0,0.0,925454.0,,,,,left_only,False
aislanglass,6189516 009037,CRM,2023,4,0.0,11001.0,1644.0,0.0,,,,,left_only,False
aislanglass,6189516 009043,CRM,2023,4,0.0,50000.0,6690.0,1853798.0,,,,,left_only,False
aislanglass,6189516 011717,CRM,2023,11,0.0,101053.0,258.0,2676797.0,,,,,left_only,False
aislanglass,6189516 011818,CRM,2023,11,0.0,101929.0,308.0,2509006.0,,,,,left_only,False
aislanglass,6189516 012048,CRM,2023,11,0.0,100035.0,292.0,2413218.0,,,,,left_only,False
aislanglass,6189516 012211,CRM,2023,12,0.0,99268.0,156.0,920500.0,,,,,left_only,False
aislanglass,6189516 012336,CRM,2023,12,0.0,101132.0,300.0,3625651.0,,,,,left_only,False
aislanglass,black marzo 2026,CRM,2026,3,0.0,33.0,1.0,4355170.0,,,,,left_only,False
aislanglass,black week,Sponsored Products,2026,3,23373.0,0.0,666.0,3116960.0,,,,,left_only,False
aislanglass,briilfbgr,CRM,2025,7,0.0,101155.0,643.0,1917305.0,,,,,left_only,False
aislanglass,campana hazlo todo con volcan,CRM,2026,4,0.0,10148.0,5.0,12681760.0,,,,,left_only,False
aislanglass,fcg8pybxs,CRM,2025,8,0.0,101177.0,15.0,512186.0,,,,,left_only,False
aislanglass,hazlo todo con volcan,Sponsored Products,2026,3,13537.0,0.0,266.0,205960.0,,,,,left_only,False
aislanglass,hazlo todo con volcan,Sponsored Products,2026,4,23057.0,0.0,600.0,296324.0,,,,,left_only,False
